name,institution,count_reviews,rating_mean
Contabilidad para no contadores,Universidad Nacional Autónoma de México,6521,4.77
Using Python to Interact with the Operating System,Google,1381,4.61
Object-Oriented Data Structures in C++,University of Illinois at Urbana-Champaign,1019,4.64
Google Cloud Platform Big Data and Machine Learning Fundamentals,Google Cloud,6123,4.57
Databases and SQL for Data Science,IBM,3543,4.39
Natural Language Processing in TensorFlow,DeepLearning.AI,1983,4.24
"Advanced Valuation and Strategy - M&A, Private Equity, and Venture Capital",Erasmus University Rotterdam,399,4.63
Natural Language Processing with Probabilistic Models,DeepLearning.AI,297,4.56
Vital Signs: Understanding What the Body Is Telling Us,University of Pennsylvania,2221,4.83
Understanding Research Methods,University of London,3693,4.58
IBM Customer Engagement Specialist Professional Certificate,IBM,530,4.86
Introduction to Calculus,The University of Sydney,1379,4.87
Camino a la Excelencia en Gestión de Proyectos,Pontificia Universidad Católica de Chile,4548,4.55
Introduction to HTML5,University of Michigan,3711,4.0
Wine Tasting: Sensory Techniques for Wine Analysis,"University of California, Davis",198,4.28
Excel Skills for Business: Intermediate I,Macquarie University,6402,4.91
"Programming Foundations with JavaScript, HTML and CSS",Duke University,6255,4.55
Build a Modern Computer from First Principles: From Nand to Tetris (Project-Centered Course),Hebrew University of Jerusalem,2097,4.92
Food & Beverage Management,Università Bocconi,1887,4.8
Data Analysis with Python,IBM,4928,4.46
Project Planning,"University of California, Irvine",60,4.35
Agile Meets Design Thinking,University of Virginia,1857,4.79
AWS Fundamentals: Going Cloud-Native,Amazon Web Services,5346,4.69
Construction Project Management,Columbia University,2489,4.8
Introduction to Mathematical Thinking,Stanford University,1324,4.81
Everyday Parenting: The ABCs of Child Rearing,Yale University,1344,4.93
Introduction to Healthcare,Stanford University,6,4.0
Machine Learning with Python,IBM,4536,4.52
Terrorism and Counterterrorism: Comparing Theory and Practice,Universiteit Leiden,1588,4.74
Data Management for Clinical Research,Vanderbilt University,809,4.77
Sustainable Fashion,Copenhagen Business School,378,4.84
Foundations of Data Science: K-Means Clustering in Python,University of London,228,4.68
Instructional Design Foundations and Applications,University of Illinois at Urbana-Champaign,189,3.67
Cursos en línea: modelo para armar,Universidad Nacional Autónoma de México,164,4.95
Modern Art & Ideas,The Museum of Modern Art,2973,4.77
"Speak English Professionally: In Person, Online & On the Phone",Georgia Institute of Technology,6384,4.77
Essential Google Cloud Infrastructure: Foundation,Google Cloud,4352,4.73
Introduction to Artificial Intelligence (AI),IBM,3688,4.77
Dog Emotion and Cognition,Duke University,2628,4.63
International Leadership and Organizational Behavior,Università Bocconi,1236,4.84
Driving business towards the Sustainable Development Goals,Erasmus University Rotterdam,213,4.87
"The Sustainable Development Goals – A global, transdisciplinary vision for the future",University of Copenhagen,1797,4.79
Digital Transformation,BCG,3078,4.8
Sequence Models,DeepLearning.AI,8358,4.64
Devenir entrepreneur du changement,HEC Paris,529,4.76
Seeing Through Photographs,The Museum of Modern Art,2255,4.78
Entrepreneurship 1: Developing the Opportunity,University of Pennsylvania,1932,4.8
Introduction to Search Engine Optimization,"University of California, Davis",4747,4.6
Learn to Speak Korean 1,Yonsei University,2931,4.89
Drug Development,University of California San Diego,871,4.55
R Programming,Johns Hopkins University,11832,4.24
Economics of Money and Banking,Columbia University,813,4.96
Chinese for Beginners,Peking University,8753,4.79
Grammar and Punctuation,"University of California, Irvine",12996,4.77
Japanese for beginners 1,Saint Petersburg State University,78,3.36
Introduction to English Common Law,University of London,669,4.82
Introduction to Dental Medicine,University of Pennsylvania,541,4.91
Fundamentals of Reinforcement Learning,Alberta Machine Intelligence Institute,1103,4.74
