name,institution,count_reviews,rating_mean
Leadership in 21st Century Organizations,Copenhagen Business School,700,4.77
Software Processes and Agile Practices,University of Alberta,1915,4.69
DevOps Culture and Mindset,"University of California, Davis",182,4.82
Introduction to Statistics & Data Analysis in Public Health,Imperial College London,471,4.68
Discrete Optimization,The University of Melbourne,360,4.83
Основы разработки на C++: белый пояс,Moscow Institute of Physics and Technology,996,4.76
COVID-19 Contact Tracing For Nursing Professionals,University of Houston,11,3.91
High Stakes Leadership: Leading in Times of Crisis,University of Michigan,81,4.78
Essential Epidemiologic Tools for Public Health Practice,Johns Hopkins University,1314,4.69
Epigenetic Control of Gene Expression,The University of Melbourne,6,1.0
"Recruiting, Hiring, and Onboarding Employees",University of Minnesota,576,3.84
AWS Fundamentals: Addressing Security Risk,Amazon Web Services,756,4.16
Ancient Philosophy: Plato & His Predecessors,University of Pennsylvania,222,4.14
Becoming a changemaker: Introduction to Social Innovation,University of Cape Town,166,4.3
Spanish for Successful Communication in Healthcare Settings,Rice University,8,4.0
Leading transformations: Manage change,Macquarie University,165,4.31
Introduction to Systems Engineering,UNSW Sydney (The University of New South Wales),240,4.78
Bayesian Statistics: Techniques and Models,"University of California, Santa Cruz",317,4.8
Human Rights for Open Societies,Utrecht University,207,4.81
Introduction to Computers and Office Productivity Software,The Hong Kong University of Science and Technology,105,4.6
The Introduction to Quantum Computing,Saint Petersburg State University,126,3.31
Intercultural Management,ESCP Business School,153,4.31
Get Interactive: Practical Teaching with Technology,University of London,494,4.76
Global Financial Markets and Instruments,Rice University,753,4.28
Write Your First Novel,Michigan State University,52,3.94
Développement psychologique de l'enfant,University of Geneva,255,4.96
Songwriting: Writing the Lyrics,Berklee College of Music,480,4.72
"Applied Plotting, Charting & Data Representation in Python",University of Michigan,2514,4.36
Systems Thinking In Public Health,Johns Hopkins University,318,4.4
Excel Skills for Business: Advanced,Macquarie University,2394,4.68
Introduction to Neuroeconomics: How the Brain Makes Decisions,National Research University Higher School of Economics,827,4.63
Community Organizing for Social Justice,University of Michigan,54,4.17
Build a Modern Computer from First Principles: Nand to Tetris Part II (project-centered course),Hebrew University of Jerusalem,279,4.96
The Global Financial Crisis,Yale University,1035,4.83
Agile и Scrum в работе над проектами и продуктами,E-Learning Development Fund,132,4.73
Renewable Energy and Green Building Entrepreneurship,Duke University,1021,4.75
The Cycle: Management of Successful Arts and Cultural Organizations,"University of Maryland, College Park",324,4.86
Privacy Law and Data Protection,University of Pennsylvania,172,4.84
Building Modern Python Applications on AWS,Amazon Web Services,3,5.0
Digital Business Models,Lund University,313,4.59
"Everyday Excel, Part 2",University of Colorado Boulder,120,4.95
Reliable Google Cloud Infrastructure: Design and Process,Google Cloud,1597,4.7
Introduction to Computer Programming,University of London,414,3.92
"Big Data Essentials: HDFS, MapReduce and Spark RDD",Yandex,290,3.42
Dermatology: Trip to skin,Novosibirsk State University ,195,4.03
Sustainable Tourism – promoting environmental public health,University of Copenhagen,696,4.58
Population Health During A Pandemic: Contact Tracing and Beyond,University of Houston,354,4.8
Social Impact Strategy: Tools for Entrepreneurs and Innovators,University of Pennsylvania,582,4.85
C for Everyone: Programming Fundamentals,"University of California, Santa Cruz",2280,4.57
Introduction to Structured Query Language (SQL),University of Michigan,2117,4.77
Social and Economic Networks:  Models and Analysis,Stanford University,6,1.0
The Truth About Cats and Dogs,The University of Edinburgh,1182,4.75
Sports and Society,Duke University,564,4.86
Fundamentals of Scalable Data Science,IBM,951,4.01
Effective Compliance Programs,University of Pennsylvania,159,4.91
Transformation of the Global Food System,University of Copenhagen,213,4.83
Web Application Technologies and Django,University of Michigan,344,4.79
Curanderismo: Traditional Healing Using Plants,University of New Mexico,6,1.0
Applied Machine Learning in Python,University of Michigan,3297,4.51
Troubleshooting and Debugging Techniques,Google,475,4.34
Introduction to C# Programming and Unity,University of Colorado System,1167,4.67
"Corrección, estilo y  variaciones de la lengua española",Universitat Autònoma de Barcelona,1104,4.74
Les Fondamentaux de la Négociation,ESSEC Business School,219,4.86
The Science of Success: What Researchers Know that You Should Know,University of Michigan,1377,4.85
Finance for Non-Financial Managers,Emory University,207,4.13
Getting Started With Music Theory,Michigan State University,388,4.12
The Horse Course: Introduction to Basic Care and Management,University of Florida,774,4.96
Verb Tenses and Passives,"University of California, Irvine",984,4.73
Gestión de organizaciones efectivas,Pontificia Universidad Católica de Chile,1765,4.78
Introduction to Big Data,University of California San Diego,5868,4.59
Rédaction de contrats,University of Geneva,423,4.84
Philosophy and the Sciences: Introduction to the Philosophy of Cognitive Sciences,The University of Edinburgh,585,4.68
Schizophrenia,Wesleyan University,563,4.68
Ecology: Ecosystem Dynamics and Conservation,Howard Hughes Medical Institute ,1338,4.83
Introduction to Game Development,Michigan State University,3704,4.76
Practical Time Series Analysis,The State University of New York,772,4.49
VLSI CAD Part I: Logic,University of Illinois at Urbana-Champaign,118,4.72
Getting Started with Google Kubernetes Engine,Google Cloud,1917,4.25
Exploring ​and ​Preparing ​your ​Data with BigQuery,Google Cloud,984,4.46
Six Sigma and the Organization (Advanced),University System of Georgia,1170,4.7
Social Work Practice: Advocating Social Justice and Change,University of Michigan,15,4.8
Introduction to Machine Learning,Duke University,635,4.68
Entrepreneurship 2: Launching your Start-Up,University of Pennsylvania,606,4.75
Nanotechnology: A Maker’s Course,Duke University,1302,4.83
Creative Problem Solving,University of Minnesota,1489,4.53
"Sleep: Neurobiology, Medicine, and Society",University of Michigan,200,4.77
COVID-19: What You Need to Know (CME Eligible),Osmosis,3683,4.85
Classical Sociological Theory,University of Amsterdam,1395,4.87
Electric Industry Operations and Markets,Duke University,444,4.78
Preparing for the Google Cloud Professional Cloud Architect Exam,Google Cloud,410,4.47
Effective Business Presentations with Powerpoint,PwC,456,4.64
More Introduction to Financial Accounting,University of Pennsylvania,267,4.93
Cryptocurrency and Blockchain: An Introduction to Digital Currencies,University of Pennsylvania,354,4.5
Think Again I: How to Understand Arguments,Duke University,1383,4.58
Developing Your Musicianship,Berklee College of Music,915,4.88
Introduction to Operations Management,University of Pennsylvania,1296,4.28
The Oral Cavity: Portal to Health and Disease,University of Pennsylvania,204,4.9
Preparing for the Google Cloud Associate Cloud Engineer Exam,Google Cloud,715,4.64
Fundamental Neuroscience for Neuroimaging,Johns Hopkins University,825,4.61
European Business Law: Understanding the Fundamentals,Lund University,417,4.75
Teach English Now! Teaching Language Online,Arizona State University,205,4.61
Front-End Web Development with React,The Hong Kong University of Science and Technology,1642,4.62
Music Business Foundations,Berklee College of Music,1305,4.87
Introduction to Business Analytics: Communicating with Data,University of Illinois at Urbana-Champaign,297,4.65
Machine Learning Foundations: A Case Study Approach,University of Washington,7974,4.5
Accounting Analytics,University of Pennsylvania,1356,4.43
Strategic Business Management - Microeconomics,"University of California, Irvine",80,4.79
"Epidemics, Pandemics and Outbreaks",University of Pittsburgh,1242,4.74
Roman Architecture,Yale University,351,4.84
Research Data Management and Sharing,The University of Edinburgh,372,4.73
Introduction to Genomic Technologies,Johns Hopkins University,1377,4.46
Strategic Management,Copenhagen Business School,2202,4.78
Cybersecurity Compliance Framework & System Administration,IBM,482,4.49
Legal Tech & Startups,IE Business School,82,4.01
Introduction to Chemistry:  Reactions and Ratios,Duke University,414,4.83
The Science of Stem Cells,American Museum of Natural History,870,4.74
The Business of Product Management I,Advancing Women in Product,9,4.33
Positive Psychology: Resilience Skills,University of Pennsylvania,1455,4.91
AI for Medical Prognosis,DeepLearning.AI,219,4.7
Antibiotic Stewardship,Stanford University,107,4.2
UX / UI: Fundamentos para o design de interface,Universidade de São Paulo,378,4.34
EMT Foundations,University of Colorado System,294,4.85
Industrial IoT on Google Cloud Platform,Google Cloud,1647,4.54
"Penetration Testing, Incident Response and Forensics",IBM,245,4.49
Database Management Essentials,University of Colorado System,1558,4.49
Advertising and Society,Duke University,447,4.81
Everyday Chinese Medicine,The Chinese University of Hong Kong,464,4.7
Fundamentals of Machine Learning for Healthcare,Stanford University,18,4.83
New Approaches to Countering Terror: Countering Violent Extremism,"University of Maryland, College Park",75,4.84
Magic in the Middle Ages,Universitat de Barcelona,1027,4.56
Challenging Forensic Science: How Science Should Speak to Court,University of Lausanne,141,4.79
Exploring Renewable Energy Schemes,University of Pennsylvania,180,4.78
Paleontology: Theropod Dinosaurs and the Origin of Birds,University of Alberta,876,4.9
Corporate Strategy,UCL School of Management,348,4.95
Getting Started with Essay Writing,"University of California, Irvine",1934,4.72
Actualización en el manejo del paciente con diabetes mellitus tipo 2,Universidad Nacional Autónoma de México,519,4.87
Mastering Final Cut Pro,LearnQuest,109,4.5
Removing Barriers to Change,University of Pennsylvania,24,5.0
Tricky American English Pronunciation,"University of California, Irvine",1674,4.72
Managing an Agile Team,University of Virginia,568,4.7
International Law in Action: A Guide to the International Courts and Tribunals in The Hague,Universiteit Leiden,531,4.75
"Competencias Laborales: Perfiles, Evaluación y Capacitación.",Universidad de Chile,207,4.52
Getting started with TensorFlow 2,Imperial College London,143,4.94
Geopolitics of Europe,Sciences Po,235,3.84
Osteoarchaeology: The Truth in Our Bones,Universiteit Leiden,328,4.71
Mathematics for Machine Learning: PCA,Imperial College London,1462,3.49
Object Oriented Programming in Java,University of California San Diego,3504,4.7
Embedded Software and Hardware Architecture,University of Colorado Boulder,145,4.31
Memoir and Personal Essay: Managing Your Relationship with the Reader,Wesleyan University,132,4.39
Математика и Python для анализа данных,Moscow Institute of Physics and Technology,2488,4.64
Hacia una práctica constructivista en el aula,Pontificia Universidad Católica de Chile,1497,4.91
Hypothesis-Driven Development,University of Virginia,302,4.58
Accounting Data Analytics with Python,University of Illinois at Urbana-Champaign,24,3.5
Introduction to Molecular Spectroscopy,University of Manchester   ,1076,4.65
Managing as a Coach,"University of California, Davis",816,4.78
