title,n_enrolled,course_type,institution,instructors,Level,subject,language,subtitles,course_effort,course_length,price
Fat Chance: Probability from the Ground Up,66835,Self-paced on your time,Harvard University,"['Benedict Gross', 'Joseph Harris', 'Emily Riehl']",Introductory,Math,English,['English'],3–5 hours per week,7 Weeks,49
Chasing your Dream: How to End Procrastination and Get a Job You Love,44711,Self-paced on your time,National Research Nuclear University,['Pavel Kochkin'],Introductory,Communication,English,['English'],2–6 hours per week,5 Weeks,49
Bitcoin and Cryptocurrencies,83398,Self-paced on your time,"University of California, Berkeley","['Rustie Lin', 'Mengyi (Gloria) Wang']",Introductory,Computer Science,English,['English'],3–5 hours per week,6 Weeks,99
English Grammar and Style,53260,Instructor-led on a course schedule,The University of Queensland,['Roslyn Petelin'],Introductory,Humanities,English,['English'],3–4 hours per week,8 Weeks,99
Ethics in Action,6366,Self-paced on your time,SDG Academy,"['Dr. William Vendley', 'Jeffrey D. Sachs']",Intermediate,Ethics,English,"['English', 'Español', 'Русский']",2–4 hours per week,10 Weeks,49
Introduction to FinTech,72767,Self-paced on your time,University of Hong Kong,"['Douglas Arner', 'Janos Barberis', 'Huy Nguyen Trieu', 'Ross Buckley']",Introductory,Economics & Finance,English,"['English', '中文', '中文']",1–3 hours per week,6 Weeks,199
Data Science: R Basics,528782,Self-paced on your time,Harvard University,['Rafael Irizarry'],Introductory,Data Analysis & Statistics,English,['English'],1–2 hours per week,8 Weeks,49
Python Basics for Data Science,228809,Self-paced on your time,IBM,['Joseph Santarcangelo'],Introductory,Data Analysis & Statistics,English,['English'],2–5 hours per week,5 Weeks,39
The Science of Beer,39085,Self-paced on your time,Wageningen University & Research,"['Sander Breevaart', 'Florence Scherer', 'Nico van der Veen', 'Esther Kunst']",Introductory,Food & Nutrition,English,['English'],2–4 hours per week,6 Weeks,49
Strategic Social Media Marketing,103640,Instructor-led on a course schedule,Boston University,['Barbara Bickart'],Advanced,Business & Management,English,['English'],4–6 hours per week,6 Weeks,399
CS50's Introduction to Artificial Intelligence with Python,258006,Self-paced on your time,Harvard University,"['David J. Malan', 'Brian Yu']",Introductory,Computer Science,English,['English'],10–30 hours per week,7 Weeks,199
CS50's Introduction to Game Development,346748,Self-paced on your time,Harvard University,"['David J. Malan', 'Colton Ogden']",Intermediate,Computer Science,English,['English'],6–9 hours per week,12 Weeks,149
Rhetoric: The Art of Persuasive Writing and Public Speaking,320225,Self-paced on your time,Harvard University,['James Engell'],Introductory,Humanities,English,['English'],2–3 hours per week,8 Weeks,99
CS50's Web Programming with Python and JavaScript,698950,Self-paced on your time,Harvard University,"['David J. Malan', 'Brian Yu']",Intermediate,Computer Science,English,['English'],6–9 hours per week,12 Weeks,90
Contract Law: From Trust to Promise to Contract,414181,Self-paced on your time,Harvard University,['Charles Fried'],Intermediate,Business & Management,English,['English'],3–6 hours per week,8 Weeks,125
"Fundamentals of Neuroscience, Part 1: The Electrical Properties of the Neuron",380167,Self-paced on your time,Harvard University,['David Cox'],Introductory,Biology & Life Sciences,English,['English'],3–5 hours per week,5 Weeks,99
Justice,392588,Self-paced on your time,Harvard University,['Michael J. Sandel'],Introductory,Humanities,English,"['Deutsch', 'English', 'Español', 'Português', '中文']",3–6 hours per week,12 Weeks,99
Data Science: Machine Learning,276209,Self-paced on your time,Harvard University,['Rafael Irizarry'],Introductory,Data Analysis & Statistics,English,['English'],2–4 hours per week,8 Weeks,49
